season,name,position,team,adp,nn
2021,Sterling Shepard,WR,,197.0,sterling shepard
2021,A.J. Green,WR,,198.9,a j green
2021,Bryan Edwards,WR,,199.2,bryan edwards
2021,Giovani Bernard,RB,,201.6,giovani bernard
2021,Devontae Booker,RB,,202.8,devontae booker
2021,Derek Carr,QB,,204.3,derek carr
2021,Daniel Jones,QB,IND,206.2,daniel jones
2021,Gabe Davis,WR,,207.4,gabe davis
2021,Christian Kirk,WR,SF,209.9,christian kirk
2021,Tre'Quan Smith,WR,,210.6,tre quan smith
2021,Emmanuel Sanders,WR,,211.1,emmanuel sanders
2021,Sammy Watkins,WR,,212.8,sammy watkins
2021,Blake Jarwin,TE,,213.7,blake jarwin
2021,Eric Ebron,TE,PIT,214.9,eric ebron
2021,Parris Campbell,WR,,215.9,parris campbell
