nn,name,position,pos_adp_rank,team_2025,share_2025,workload_2025,weeks_2025,ppg_2025,nfl_pick
jaydon blue,Jaydon Blue,RB,55.0,DAL,0.0992,38.0,5.0,4.08,149.0
aj dillon,AJ Dillon,RB,58.0,PHI,0.033,12.0,6.0,1.52,62.0
tory horton,Tory Horton,WR,181.0,SEA,0.0759,22.0,8.0,8.14,166.0
brandon aiyuk,Brandon Aiyuk,WR,171.0,,,,,,
jake tonges,Jake Tonges,TE,114.0,SF,0.3538,46.0,10.0,9.33,
calvin austin,Calvin Austin,WR,93.0,PIT,0.2361,55.0,14.0,6.16,138.0
jack bech,Jack Bech,WR,185.0,LV,0.1198,29.0,14.0,3.03,58.0
cole kmet,Cole Kmet,TE,29.0,CHI,0.3529,48.0,16.0,4.92,43.0
justin joly,Justin Joly,TE,39.0,,,,,,152.0
michael mayer,Michael Mayer,TE,107.0,LV,0.3205,50.0,13.0,5.68,35.0
jaylin noel,Jaylin Noel,WR,182.0,HOU,0.1012,35.0,17.0,4.02,79.0
marlin klein,Marlin Klein,TE,40.0,,,,,,59.0
theo wease,Theo Wease,WR,94.0,MIA,0.0408,10.0,3.0,8.63,
devaughn vele,Devaughn Vele,WR,186.0,NO,0.1134,39.0,9.0,7.37,235.0
kalif raymond,Kalif Raymond,WR,74.0,DET,0.0896,30.0,15.0,4.45,
ja tavion sanders,Ja'Tavion Sanders,TE,102.0,CAR,0.3434,34.0,12.0,4.5,101.0
kavontae turpin,KaVontae Turpin,WR,70.0,DAL,0.0982,38.0,15.0,5.63,
will kacmarek,Will Kacmarek,TE,41.0,,,,,,87.0
dontayvion wicks,Dontayvion Wicks,WR,174.0,GB,0.1697,46.0,13.0,5.83,159.0
noah fant,Noah Fant,TE,42.0,CIN,0.3178,41.0,13.0,5.75,20.0
andrei iosivas,Andrei Iosivas,WR,158.0,CIN,0.158,58.0,15.0,5.99,206.0
mike washington,Mike Washington,RB,110.0,,,,,,122.0
bryce lance,Bryce Lance,WR,95.0,,,,,,136.0
pat bryant,Pat Bryant,WR,187.0,DEN,0.1396,49.0,13.0,5.75,74.0
ben sims,Ben Sims,TE,43.0,MIN,0.0638,6.0,3.0,2.0,
cedric tillman,Cedric Tillman,WR,96.0,CLE,0.1681,39.0,12.0,5.0,74.0
kevin coleman,Kevin Coleman,WR,97.0,,,,,,177.0
joshua palmer,Joshua Palmer,WR,98.0,,,,,,
jahan dotson,Jahan Dotson,WR,164.0,PHI,0.1237,36.0,15.0,3.35,16.0
keon coleman,Keon Coleman,WR,159.0,BUF,0.2185,59.0,12.0,8.53,33.0
jarquez hunter,Jarquez Hunter,RB,59.0,,,,,,
ted hurst,Ted Hurst,WR,165.0,,,,,,84.0
xavier hutchinson,Xavier Hutchinson,WR,99.0,HOU,0.1647,57.0,16.0,6.12,205.0
bub means,Bub Means,WR,100.0,,,,,,
nate boerkircher,Nate Boerkircher,TE,44.0,,,,,,56.0
jaylin lane,Jaylin Lane,WR,101.0,WAS,0.1172,32.0,15.0,3.41,128.0
jalen royals,Jalen Royals,WR,102.0,KC,0.0096,3.0,2.0,1.2,133.0
jawhar jordan,Jawhar Jordan,RB,60.0,HOU,0.1078,43.0,4.0,7.42,205.0
de zhaun stribling,De'Zhaun Stribling,WR,177.0,,,,,,33.0
john bates,John Bates,TE,45.0,WAS,0.1538,16.0,10.0,2.73,124.0
demario douglas,DeMario Douglas,WR,75.0,NE,0.1625,46.0,16.0,5.99,210.0
eli stowers,Eli Stowers,TE,108.0,,,,,,54.0
chris bell,Chris Bell,WR,175.0,,,,,,94.0
malik davis,Malik Davis,RB,84.0,DAL,0.1358,52.0,10.0,4.06,
jordan james,Jordan James,RB,98.0,,,,,,
daniel bellinger,Daniel Bellinger,TE,46.0,NYG,0.2549,26.0,13.0,4.58,112.0
elijah arroyo,Elijah Arroyo,TE,103.0,SEA,0.2549,26.0,13.0,2.84,50.0
tommy tremble,Tommy Tremble,TE,47.0,CAR,0.3737,37.0,15.0,4.26,83.0
kendre miller,Kendre Miller,RB,61.0,NO,0.1567,47.0,7.0,4.76,71.0
ty simpson,Ty Simpson,QB,31.0,,,,,,13.0
carson beck,Carson Beck,QB,32.0,,,,,,65.0
jack endries,Jack Endries,TE,48.0,,,,,,221.0
jeremy ruckert,Jeremy Ruckert,TE,49.0,NYJ,0.2736,29.0,14.0,3.35,101.0
brenen thompson,Brenen Thompson,WR,103.0,,,,,,105.0
austin hooper,Austin Hooper,TE,50.0,NE,0.2301,26.0,13.0,4.56,81.0
luke mccaffrey,Luke McCaffrey,WR,76.0,WAS,0.0549,15.0,9.0,5.7,100.0
dallen bentley,Dallen Bentley,TE,51.0,,,,,,256.0
jahdae walker,Jahdae Walker,WR,77.0,CHI,0.0317,10.0,6.0,4.45,
