full_name,position,team,age,bye_week,status,years_exp,player_id,espn_id,yahoo_id,sportradar_id
Alexander Hollins,WR,,25.0,,Active,3.0,6381,4249496.0,32143.0,d0780152-5d3e-4add-99bd-e330c258df10
Dax Raymond,TE,PIT,27.0,,Active,3.0,6016,3932963.0,32261.0,9d95c076-0ceb-4ecc-9187-4f77354c2d1f
Brycen Tremayne,WR,CAR,26.0,,Active,3.0,11157,,,2a3cbc30-e8ed-11ed-bd02-25f41a9e059e
La'Mical Perine,RB,,26.0,,Active,4.0,6908,4034952.0,32790.0,f86e291f-d678-463c-93cb-beedab9a309a
Brian Brown,WR,,27.0,,Active,5.0,4569,3049891.0,30781.0,9f356394-2efe-4ce4-a0a4-06ff9d3e3d19
Keke Coutee,WR,,26.0,,Active,5.0,5007,3915823.0,31073.0,40caae08-0389-4c59-b796-d924047f57f9
Pierre Strong,RB,GB,27.0,,Active,4.0,8116,,,8a9a3c7f-57a1-4064-9bda-2c7fad7b5c01
Jacob Eason,QB,,26.0,,Active,4.0,6823,4035003.0,32792.0,060d05d6-aa31-4571-9f91-12c8050b6aaf
Matt Weiser,TE,,29.0,,Active,6.0,3648,2574404.0,29532.0,7b29d20b-0839-48b4-8126-006499981186
Mathew Sexton,WR,,26.0,,Active,3.0,7619,,,5981a5e3-b1f6-4bfc-89e7-5df7e9c9e52d
Jamie Newman,QB,,24.0,,Inactive,1.0,7555,,,22fd9495-1745-42eb-baf2-19631176d97f
Donaven McCulley,WR,MIA,23.0,,Active,0.0,13409,,,786dc030-42ad-11f1-b790-eff5cc34fd85
Davis Mills,QB,HOU,27.0,,Active,5.0,7585,,,7d51fab7-2d52-4d19-a021-19a123af0d10
Caleb Chapman,WR,,,,Active,1.0,12399,,,21b8c620-112e-11ef-a791-8192d6b9ec7f
Josh Ali,WR,,25.0,,Active,2.0,8931,,,745a7080-2950-11ed-930d-e71fc740ea47
Stephon Robinson,WR,,,,Active,1.0,8633,,,5f760360-cb4e-11ec-a667-6354702e3fca
Ameer Abdullah,RB,JAX,33.0,,Active,11.0,2359,2576336.0,28442.0,c5e430c5-7a8e-4e29-b30f-1a527f05cb89
Dion Lewis,RB,,31.0,,Injured Reserve,11.0,788,14198.0,24936.0,b25ba2bd-80bd-4295-9034-cf9242fb207b
Anthony Brown,QB,,26.0,,Active,3.0,8241,,,16f9e1a0-c97e-11ec-a1a0-57a82b503f37
Drew Lock,QB,SEA,29.0,,Active,7.0,5854,3924327.0,31874.0,94325301-e0ad-4a9f-a0e5-ffec0f529be3
Rasheed Williams,RB,,,,Active,11.0,2936,,,0ca1f22e-c4bb-4eee-bcc3-3d57e9103ba1
Paul Perkins,RB,,27.0,,Active,6.0,3211,2971589.0,29383.0,73015642-080b-48a9-b1b5-bfa4a606cfd1
Trey Sermon,RB,,26.0,,Active,5.0,7593,,,b7146193-fcd1-4b02-a6da-625fe467f60e
Taryn Christion,QB,,,,Active,3.0,6489,3909004.0,32328.0,2fddb075-e397-48ed-a05c-dc296b08af2f
Darius Clark,RB,,25.0,,Active,1.0,7614,,,b5ba01c4-999b-4a82-9bcd-3540ee60d71e
Blayne Taylor,WR,,23.0,,Active,1.0,12832,,,fb74a750-23be-11f0-bef8-055d5d8c036f
Mac Dalena,WR,BUF,24.0,,Active,1.0,12809,,,6e03aec0-23a0-11f0-900b-373ee4a86a01
Javon Leake,RB,,23.0,,Active,2.0,6966,4241940.0,33037.0,241d5e15-f9e6-4bf2-ac36-74dcbc9cc148
Joel Bouagnon,RB,,26.0,,Active,5.0,4548,3047969.0,30717.0,856182d1-221e-48ce-bce4-58c7843549fa
Easton Dean,TE,,20.0,,Active,1.0,12354,,,32f20570-0c9f-11ef-8e87-f31c3bd29a04
Devin Gardner,WR,,33.0,,Active,10.0,3021,,,f6ae96ba-7fcc-4d6a-9573-4f7001758968
Audric Estime,RB,NO,22.0,,Active,2.0,11579,,,3b86dd7c-0b21-448d-a662-5675e87fd0da
,DEF,HOU,,,,,HOU,,,
Dak Prescott,QB,DAL,32.0,,Active,10.0,3294,2577417.0,29369.0,86197778-8d4b-4eba-affe-08ef7be7c70b
Travis Wilson,TE,,28.0,,Active,5.0,4031,2971668.0,30874.0,1eed6316-b4fc-4faa-9439-a6f93e8dc6ff
Antonio Williams,WR,WAS,21.0,,Active,0.0,13301,,,d80b6d95-5b56-4e52-9a19-05957961f506
Tyler Simmons,WR,,24.0,,Active,2.0,7274,4035018.0,33163.0,03b284d4-e624-4e2e-ab32-ab2564cdca0b
Dorren Miller,WR,,27.0,,Active,4.0,5359,4260053.0,31271.0,0db5bd22-905e-4faa-a2d3-2c9d407215e8
Alex McNulty,K,,,,Active,1.0,12180,,,a7a86ad0-07cc-11ef-a049-913a51418197
Chris King,WR,,31.0,,Active,9.0,3609,,,41ce26a1-1afc-4c4f-976f-48c87a526c36
Matthew Stafford,QB,LAR,38.0,,Active,17.0,421,12483.0,9265.0,ade43b1a-0601-4672-83b6-d246bc066a19
Johnny Wilson,WR,PHI,25.0,,Active,2.0,11636,,,e8d389b5-56c8-4276-9983-0dbcc1663507
Khalil Shakir,WR,BUF,26.0,,Active,4.0,8134,,,0ce9ddce-bdf6-469c-8a32-9cf0ed3714a4
Justin Crawford,RB,,26.0,,Active,4.0,5398,4039226.0,31338.0,3dc42923-568b-4e5e-8c97-cb10d8527f7a
Noah Gray,TE,KC,27.0,,Active,5.0,7828,,,c97dfcb6-b999-476f-8487-f3848e92df17
Xazavian Valladay,RB,,27.0,,Active,2.0,10861,,,108ce360-f32d-11ed-a71f-ed490fe44e0d
,DEF,NE,,,,,NE,,,
De'Quan Hampton,WR,,27.0,,Active,5.0,4814,3912558.0,30931.0,c9e777fb-ad87-4304-b7c9-bcc0fdb3b42b
Parker Houston,TE,,24.0,,Active,2.0,7397,,33080.0,e4d9a5b4-4cca-48fc-aef3-4dfee12c83e5
Joe Milton,QB,DAL,26.0,,Active,2.0,11557,,,74043480-24ef-4c26-99d4-18f43d5b41d3
Ronald Jones,RB,,26.0,,Active,5.0,5052,3912550.0,31008.0,15965c39-17be-4338-911a-8f337f48a3ce
Chad Williams,WR,,27.0,,Active,5.0,4128,3066052.0,30211.0,35c970b1-cd2c-42b8-bcb6-e0b8dbe39423
Isaac Zico,WR,,25.0,,Active,3.0,6626,4260392.0,32429.0,b598ce5a-5949-4d28-90ce-9c1063f93730
Corey Rucker,WR,LV,24.0,,Inactive,0.0,13898,,,991fe9e0-4503-11f1-9b4d-f158c07df522
O'Mega Blake,WR,,,,Active,0.0,13304,,,
Justice Hill,RB,BAL,28.0,,Active,7.0,5995,4038441.0,31945.0,528e71ec-8fb3-4928-ace5-fc5ffbf26eb3
Marquise Williams,QB,,32.0,,Active,9.0,3524,2577118.0,30013.0,4e39c621-ff25-4c15-999c-f6d41ade5db9
Jacob Hollister,TE,,30.0,,Active,7.0,4421,3125404.0,30661.0,ad2a1d03-020b-487a-bd5f-7ca9fbc250fe
Jamaal Pritchett,WR,NYJ,23.0,,Active,1.0,12925,,,d9981370-2502-11f0-8ac8-c31e8098aeb4
Colston Loveland,TE,CHI,22.0,,Active,1.0,12517,,,62cd2cd5-8b40-4ee6-bfb8-0083edd105a2
