sleeper_id,full_name,position,team,status,injury_status,injury_body_part,injury_start_date,injury_notes,news_updated,depth_chart_position,depth_chart_order,adp_ppr,adp_std,adp_half_ppr,adp_2qb,proj_pts_ppr,proj_pts_std,proj_rush_yds,proj_rush_att,proj_rec,proj_rec_yds,proj_rec_td,proj_fumbles_lost,proj_rush_td,proj_pass_yds,proj_pass_td,proj_pass_int,proj_pass_att,nn
4050,Cyril Grayson,WR,,Active,,,,,1668546607394.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,cyril grayson
13010,Jordan Waters,RB,LAR,Active,,,,,1770342314438.0,RB,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jordan waters
7720,Kene Nwangwu,RB,NYJ,Active,,,,,1780024825593.0,RB,5.0,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,kene nwangwu
11867,Jaelen Gill,WR,,Active,,,,,1753236022605.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jaelen gill
8416,Jalen Virgil,WR,,Active,Questionable,Undisclosed,,,1785448824297.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,jalen virgil
8621,Garrett Walston,TE,,Active,,,,,1652811948193.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,garrett walston
5126,Austin Proehl,WR,,Active,,,,,1660857954849.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,austin proehl
13193,Ketron Jackson,WR,,Active,,,,,1756174206697.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,ketron jackson
13726,Camden Brown,WR,DAL,Active,,,,,1777665034401.0,SWR,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,camden brown
6973,J.J. Taylor,RB,,Active,,,,,1755706513537.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,j j taylor
5548,Elijah Marks,WR,,Active,,,,,1532652601533.0,,,999.0,999.0,999.0,999.0,,,,,,,,,,,,,,elijah marks
