espn_id,full_name,position,pro_team_id,adp,adp_pct_change,pct_owned,pct_started,proj_total_espn_default,proj_rush_att,proj_rush_yds,proj_rush_td,proj_rec,proj_rec_yds,proj_rec_td,proj_pass_att,proj_pass_yds,proj_pass_td,proj_pass_int,proj_fg_made,proj_fg_att,proj_pat_made,nn
4242006,Blake Haubeil,K,0,,,,,,,,,,,,,,,,,,,blake haubeil
14871,Hayden Smith,TE,0,,,,,,,,,,,,,,,,,,,hayden smith
14872,Andre Hardy,TE,22,,,,,,,,,,,,,,,,,,,andre hardy
3914305,Anthony Jones,RB,0,,,,,,,,,,,,,,,,,,,anthony jones
14873,Les Brown,TE,0,,,,,,,,,,,,,,,,,,,les brown
14874,Andrew Luck,QB,0,,,,,,,,,,,,,,,,,,,andrew luck
14875,Robert Griffin III,QB,0,,,,,,,,,,,,,,,,,,,robert griffin
14876,Ryan Tannehill,QB,0,,,,,,,,,,,,,,,,,,,ryan tannehill
5061223,Kehinde Oginni Hassan,TE,0,,,,,,,,,,,,,,,,,,,kehinde oginni hassan
14877,Nick Foles,QB,0,,,,,,,,,,,,,,,,,,,nick foles
14878,Brandon Weeden,QB,0,,,,,,,,,,,,,,,,,,,brandon weeden
14879,Brock Osweiler,QB,0,,,,,,,,,,,,,,,,,,,brock osweiler
14880,Kirk Cousins,QB,13,170.0,0.03,1.73,0.33,,5.723,11.102,0.258,,,,118.08,832.62,4.163,2.667,,,,kirk cousins
14881,Russell Wilson,QB,0,169.97,0.02,0.09,0.02,,,,,,,,,,,,,,,russell wilson
14882,Kellen Moore,QB,6,,,,,,,,,,,,,,,,,,,kellen moore
14883,Ryan Lindley,QB,11,,,,,,,,,,,,,,,,,,,ryan lindley
14884,Trent Richardson,RB,33,,,,,,,,,,,,,,,,,,,trent richardson
14885,Doug Martin,RB,0,,,,,,,,,,,,,,,,,,,doug martin
14886,Lamar Miller,RB,0,,,,,,,,,,,,,,,,,,,lamar miller
14887,David Wilson,RB,19,,,,,,,,,,,,,,,,,,,david wilson
14888,Isaiah Pead,RB,15,,,,,,,,,,,,,,,,,,,isaiah pead
14889,Chris Polk,RB,34,,,,,,,,,,,,,,,,,,,chris polk
14890,LaMike James,RB,15,,,,,,,,,,,,,,,,,,,lamike james
14891,Bernard Pierce,RB,7,,,,,,,,,,,,,,,,,,,bernard pierce
14892,Edwin Baker,RB,18,,,,,,,,,,,,,,,,,,,edwin baker
14893,Tauren Poole,RB,33,,,,,,,,,,,,,,,,,,,tauren poole
2980378,Cody Core,WR,0,,,,,,,,,,,,,,,,,,,cody core
14894,Robert Turbin,RB,0,,,,,,,,,,,,,,,,,,,robert turbin
14895,Ronnie Hillman,RB,6,,,,,,,,,,,,,,,,,,,ronnie hillman
14896,Chris Rainey,RB,22,,,,,,,,,,,,,,,,,,,chris rainey
14897,Cyrus Gray,RB,1,,,,,,,,,,,,,,,,,,,cyrus gray
14898,Vick Ballard,RB,18,,,,,,,,,,,,,,,,,,,vick ballard
14899,Terrance Ganaway,RB,0,,,,,,,,,,,,,,,,,,,terrance ganaway
14900,Coby Fleener,TE,0,,,,,,,,,,,,,,,,,,,coby fleener
14901,Dwayne Allen,TE,0,,,,,,,,,,,,,,,,,,,dwayne allen
