name,position,team,adp,high,low,stdev,times_drafted,bye,nn
Baltimore Defense,DEF,BAL,168.9,121,210,18.4,102,13,baltimore defense
Green Bay Defense,DEF,GB,169.0,146,187,15.6,5,11,green bay defense
Tory Horton,WR,SEA,169.3,156,196,15.6,7,11,tory horton
Andy Borregales,PK,NE,169.6,166,178,4.8,5,11,andy borregales
Tyler Bass,PK,BUF,170.1,140,203,12.2,22,7,tyler bass
Nick Folk,PK,ATL,170.1,144,193,10.0,39,11,nick folk
New Orleans Defense,DEF,NO,170.3,131,210,15.2,79,8,new orleans defense
Wil Lutz,PK,DEN,171.3,138,209,14.0,18,10,wil lutz
Greg Dulcich,TE,MIA,171.4,135,208,22.8,13,6,greg dulcich
Zachariah Branch,WR,ATL,171.7,153,177,7.1,10,11,zachariah branch
Jacksonville Defense,DEF,JAX,172.2,152,210,18.4,14,7,jacksonville defense
San Francisco Defense,DEF,SF,172.5,136,204,17.1,11,8,san francisco defense
Ryan Flournoy,WR,DAL,172.7,150,209,21.0,6,14,ryan flournoy
Cam Ward,QB,TEN,173.1,135,201,14.3,31,9,cam ward
Cincinnati Defense,DEF,CIN,173.4,140,209,18.9,36,6,cincinnati defense
Chicago Defense,DEF,CHI,173.7,142,204,18.0,12,10,chicago defense
Emmett Johnson,RB,KC,174.2,162,180,7.1,5,5,emmett johnson
Chris Boswell,PK,PIT,174.5,141,208,18.1,24,9,chris boswell
Dontayvion Wicks,WR,PHI,174.8,147,194,13.7,9,10,dontayvion wicks
Kansas City Defense,DEF,KC,175.2,170,178,3.0,5,5,kansas city defense
Ty Johnson,RB,BUF,175.5,161,179,7.1,6,7,ty johnson
NY Giants Defense,DEF,NYG,175.5,144,210,16.9,20,8,ny giants defense
Cleveland Defense,DEF,CLE,176.5,127,210,26.0,35,11,cleveland defense
Bryce Young,QB,CAR,176.8,158,196,12.6,11,5,bryce young
Tyquan Thornton,WR,KC,177.6,164,184,8.4,7,5,tyquan thornton
Christian Kirk,WR,SF,178.4,146,204,18.2,17,8,christian kirk
Darnell Mooney,WR,NYG,178.5,154,203,16.4,8,8,darnell mooney
Miami Defense,DEF,MIA,182.6,145,209,16.5,32,6,miami defense
Geno Smith,QB,NYJ,186.4,166,209,20.9,5,13,geno smith
