fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-overall.php,best-overall,bo,TreVeyon Henderson,23065,RB,NE,50.2,9.24,37,64,,treveyon-henderson.php,,,94.0,,,,,3.0,11.0,TreVeyon Henderson,2026-07-31,NEP
/nfl/rankings/best-ball-overall.php,best-overall,bo,Lamar Jackson,17233,QB,BAL,51.0,9.49,39,65,,lamar-jackson.php,,,99.1,,,,,,13.0,Lamar Jackson,2026-07-31,BAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,DJ Moore,17265,WR,BUF,51.6,5.46,46,59,,dj-moore-wr.php,,,93.4,,,,,,7.0,DJ Moore,2026-07-31,BUF
/nfl/rankings/best-ball-overall.php,best-overall,bo,Cam Skattebo,27166,RB,NYG,52.2,2.93,49,56,,cam-skattebo.php,,,97.0,,,,,,8.0,Cam Skattebo,2026-07-31,NYG
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jameson Williams,23677,WR,DET,53.2,8.82,41,65,,jameson-williams.php,,,95.1,,,,,,6.0,Jameson Williams,2026-07-31,DET
/nfl/rankings/best-ball-overall.php,best-overall,bo,Bhayshul Tuten,27297,RB,JAC,53.2,5.88,43,60,,bhayshul-tuten.php,,,91.2,,,,,,7.0,Bhayshul Tuten,2026-07-31,JAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Davante Adams,12123,WR,LAR,53.2,5.27,48,63,,davante-adams.php,,,97.3,,,,,,11.0,Davante Adams,2026-07-31,LAR
/nfl/rankings/best-ball-overall.php,best-overall,bo,David Montgomery,18239,RB,HOU,54.8,5.98,48,65,,david-montgomery.php,,,93.6,,,,,,8.0,David Montgomery,2026-07-31,HOU
/nfl/rankings/best-ball-overall.php,best-overall,bo,Bucky Irving,25981,RB,TB,55.6,2.65,53,60,,bucky-irving.php,,,95.7,,,,,,10.0,Bucky Irving,2026-07-31,TBB
/nfl/rankings/best-ball-overall.php,best-overall,bo,Joe Burrow,19196,QB,CIN,56.0,10.94,36,66,,joe-burrow.php,,,98.1,,,,,,6.0,Joe Burrow,2026-07-31,CIN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Drake Maye,23046,QB,NE,56.2,9.87,37,65,,drake-maye.php,,,98.6,,,,,,11.0,Drake Maye,2026-07-31,NEP
/nfl/rankings/best-ball-overall.php,best-overall,bo,Carnell Tate,26009,WR,TEN,57.0,5.62,50,63,,carnell-tate.php,,,93.4,,,,,,9.0,Carnell Tate,2026-07-31,TEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Christian Watson,23886,WR,GB,57.4,6.41,47,67,,christian-watson.php,,,91.6,,,,,,11.0,Christian Watson,2026-07-31,GBP
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jayden Daniels,22902,QB,WAS,59.2,12.67,40,73,,jayden-daniels.php,,,97.5,,,,,,7.0,Jayden Daniels,2026-07-31,WAS
/nfl/rankings/best-ball-overall.php,best-overall,bo,D'Andre Swift,19210,RB,CHI,59.8,5.19,54,68,,dandre-swift.php,,,94.0,,,,,,10.0,DAndre Swift,2026-07-31,CHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Quinshon Judkins,25391,RB,CLE,60.0,7.46,50,68,,quinshon-judkins.php,,,93.9,,,,,,11.0,Quinshon Judkins,2026-07-31,CLE
/nfl/rankings/best-ball-overall.php,best-overall,bo,Tyler Warren,26434,TE,IND,60.8,5.49,56,68,,tyler-warren.php,,,98.2,,,,,,13.0,Tyler Warren,2026-07-31,IND
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jadarian Price,27329,RB,SEA,63.6,4.45,56,69,,jadarian-price.php,,,91.3,,,,,,11.0,Jadarian Price,2026-07-31,SEA
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jalen Hurts,19275,QB,PHI,67.2,8.42,53,74,,jalen-hurts.php,,,97.8,,,,,,10.0,Jalen Hurts,2026-07-31,PHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Tucker Kraft,25298,TE,GB,67.2,4.87,60,75,,tucker-kraft.php,,,93.8,,,,,,11.0,Tucker Kraft,2026-07-31,GBP
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jordyn Tyson,26035,WR,NO,67.8,4.31,62,74,,jordyn-tyson.php,,,89.2,,,,,,8.0,Jordyn Tyson,2026-07-31,NOS
/nfl/rankings/best-ball-overall.php,best-overall,bo,Marvin Harrison Jr.,23064,WR,ARI,69.2,4.49,62,76,,marvin-harrison-jr.php,,,90.6,,,,,,14.0,Marvin Harrison,2026-07-31,ARI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Rome Odunze,25411,WR,CHI,70.8,11.2,59,88,,rome-odunze.php,,,92.4,,,,,,10.0,Rome Odunze,2026-07-31,CHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Brian Thomas Jr.,23000,WR,JAC,74.4,16.89,59,97,,brian-thomas-jr.php,,,89.6,,,,,,7.0,Brian Thomas,2026-07-31,JAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Dak Prescott,15600,QB,DAL,75.6,9.39,62,91,,dak-prescott.php,,,93.4,,,,,,14.0,Dak Prescott,2026-07-31,DAL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Caleb Williams,23084,QB,CHI,76.0,6.78,66,85,,caleb-williams.php,,,93.7,,,,,,10.0,Caleb Williams,2026-07-31,CHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Tony Pollard,18705,RB,TEN,76.2,9.66,64,88,,tony-pollard.php,,,89.9,,,,,,9.0,Tony Pollard,2026-07-31,TEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Justin Herbert,18635,QB,LAC,77.4,7.58,67,90,,justin-herbert.php,,,93.4,,,,,,7.0,Justin Herbert,2026-07-31,LAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Trevor Lawrence,19780,QB,JAC,77.8,6.24,69,86,,trevor-lawrence.php,,,90.8,,,,,,7.0,Trevor Lawrence,2026-07-31,JAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Alec Pierce,23791,WR,IND,78.8,7.98,68,88,,alec-pierce.php,,,90.3,,,,,,13.0,Alec Pierce,2026-07-31,IND
/nfl/rankings/best-ball-overall.php,best-overall,bo,Parker Washington,23106,WR,JAC,79.2,12.69,59,94,,parker-washington.php,,,88.4,,,,,,7.0,Parker Washington,2026-07-31,JAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jaylen Warren,24209,RB,PIT,79.4,5.08,71,85,,jaylen-warren.php,,,91.2,,,,,,9.0,Jaylen Warren,2026-07-31,PIT
/nfl/rankings/best-ball-overall.php,best-overall,bo,DK Metcalf,18219,WR,PIT,82.4,6.97,71,90,,dk-metcalf.php,,,92.2,,,,,,9.0,DK Metcalf,2026-07-31,PIT
/nfl/rankings/best-ball-overall.php,best-overall,bo,Sam LaPorta,22978,TE,DET,83.2,5.91,75,93,,sam-laporta.php,,,95.5,,,,,,6.0,Sam LaPorta,2026-07-31,DET
/nfl/rankings/best-ball-overall.php,best-overall,bo,Rhamondre Stevenson,22726,RB,NE,83.4,4.45,78,88,,rhamondre-stevenson.php,,,88.3,,,,,,11.0,Rhamondre Stevenson,2026-07-31,NEP
/nfl/rankings/best-ball-overall.php,best-overall,bo,Courtland Sutton,17253,WR,DEN,85.6,9.83,68,94,,courtland-sutton.php,,,89.8,,,,,,10.0,Courtland Sutton,2026-07-31,DEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Brock Purdy,19797,QB,SF,85.8,4.58,78,92,,brock-purdy.php,,,90.9,,,,,,8.0,Brock Purdy,2026-07-31,SFO
/nfl/rankings/best-ball-overall.php,best-overall,bo,Makai Lemon,25420,WR,PHI,86.2,10.65,74,99,,makai-lemon.php,,,88.7,,,,,,10.0,Makai Lemon,2026-07-31,PHI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Chris Godwin Jr.,16406,WR,TB,86.8,4.87,82,95,,chris-godwin.php,,,87.2,,,,,,10.0,Chris Godwin,2026-07-31,TBB
/nfl/rankings/best-ball-overall.php,best-overall,bo,Wan'Dale Robinson,22985,WR,TEN,87.4,8.4,78,99,,wandale-robinson.php,,,77.3,,,,,,9.0,WanDale Robinson,2026-07-31,TEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Josh Downs,24706,WR,IND,88.2,11.48,77,108,,josh-downs.php,,,81.5,,,,,,13.0,Josh Downs,2026-07-31,IND
/nfl/rankings/best-ball-overall.php,best-overall,bo,RJ Harvey,27142,RB,DEN,88.6,5.75,82,99,,rj-harvey.php,,,88.1,,,,,,10.0,RJ Harvey,2026-07-31,DEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Rico Dowdle,19647,RB,PIT,88.8,8.47,75,100,,rico-dowdle.php,,,90.1,,,,,,9.0,Rico Dowdle,2026-07-31,PIT
/nfl/rankings/best-ball-overall.php,best-overall,bo,Kyle Pitts Sr.,20164,TE,ATL,90.2,6.11,84,101,,kyle-pitts.php,,,95.6,,,,,,11.0,Kyle Pitts,2026-07-31,ATL
/nfl/rankings/best-ball-overall.php,best-overall,bo,Quentin Johnston,23123,WR,LAC,92.8,11.21,77,106,,quentin-johnston.php,,,82.4,,,,,,7.0,Quentin Johnston,2026-07-31,LAC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Harold Fannin Jr.,27050,TE,CLE,93.8,13.03,76,110,,harold-fannin-jr.php,,,94.6,,,,,,11.0,Harold Fannin,2026-07-31,CLE
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jaxson Dart,23160,QB,NYG,94.2,10.53,76,107,,jaxson-dart.php,,,94.8,,,,,,8.0,Jaxson Dart,2026-07-31,NYG
/nfl/rankings/best-ball-overall.php,best-overall,bo,Travis Kelce,11594,TE,KC,94.2,10.32,81,112,,travis-kelce.php,,,90.9,,,,,,5.0,Travis Kelce,2026-07-31,KCC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Patrick Mahomes II,16413,QB,KC,94.2,8.4,83,104,,patrick-mahomes.php,,,91.9,,,,,,5.0,Patrick Mahomes,2026-07-31,KCC
/nfl/rankings/best-ball-overall.php,best-overall,bo,Michael Wilson,25333,WR,ARI,96.2,15.68,75,120,,michael-wilson.php,,,86.6,,,,,,14.0,Michael Wilson,2026-07-31,ARI
/nfl/rankings/best-ball-overall.php,best-overall,bo,Chuba Hubbard,19792,RB,CAR,96.6,6.71,89,106,,chuba-hubbard.php,,,90.3,,,,,,5.0,Chuba Hubbard,2026-07-31,CAR
/nfl/rankings/best-ball-overall.php,best-overall,bo,Jonathon Brooks,26148,RB,CAR,97.6,9.95,81,112,,jonathon-brooks.php,,,76.0,,,,,,5.0,Jonathon Brooks,2026-07-31,CAR
/nfl/rankings/best-ball-overall.php,best-overall,bo,Bo Nix,22910,QB,DEN,98.0,8.44,83,107,,bo-nix.php,,,88.9,,,,,,10.0,Bo Nix,2026-07-31,DEN
/nfl/rankings/best-ball-overall.php,best-overall,bo,Michael Pittman Jr.,19278,WR,PIT,98.0,8.32,87,109,,michael-pittman.php,,,87.7,,,,,,9.0,Michael Pittman,2026-07-31,PIT
/nfl/rankings/best-ball-overall.php,best-overall,bo,George Kittle,16499,TE,SF,100.8,11.65,84,115,,george-kittle.php,,,92.8,,,,,,8.0,George Kittle,2026-07-31,SFO
